1	Москва 	12655050	8,66 	12 480 481 	98,62 	197 598 	1,56 	2561 	4941,45 	ЦФО
2	Московская область 	7708499	5,27 	6 258 082 	81,18 	1 432 781 	18,59 	44 329 	173,89 	ЦФО
3	Краснодарский край 	5683947	3,89 	3 141 509 	55,27 	2 533 953 	44,58 	75 485 	75,30 	ЮФО
4	Санкт-Петербург 	5384342	3,68 	5 398 064 	100,25 	0 	0 	1403 	3837,73 	СЗФО
5	Свердловская область 	4290067	2,93 	3 664 715 	85,42 	645 966 	15,06 	194 307 	22,08 	УФО
6	Ростовская область 	4181486	2,86 	2 862 889 	68,47 	1 334 932 	31,92 	100 967 	41,41 	ЮФО
7	Республика Башкортостан 	4013786	2,75 	2 521 840 	62,83 	1 516 311 	37,78 	142 947 	28,08 	ПФО
8	Республика Татарстан 	3894120	2,66 	3 002 176 	77,1 	900 712 	23,13 	67 847 	57,40 	ПФО
	Тюменская область
(с ХМАО и ЯНАО) 	3778053	2,58 	3 043 824 	80,57 	712 712 	18,86 	1 464 173 	2,58 	УФО
9	Челябинская область 	3442810	2,36 	2 866 135 	83,25 	600 234 	17,43 	88 529 	38,89 	УФО
10	Нижегородская область 	3176552	2,17 	2 552 560 	80,36 	650 386 	20,47 	76 624 	41,46 	ПФО
11	Самарская область 	3154164	2,16 	2 537 382 	80,45 	642 150 	20,36 	53 565 	58,88 	ПФО
12	Республика Дагестан 	3133303	2,14 	1 409 430 	44,98 	1 701 428 	54,3 	50 270 	62,33 	СКФО
13	Красноярский край 	2855899	1,95 	2 222 227 	77,81 	644 028 	22,55 	2 366 797 	1,21 	СФО
14	Ставропольский край 	2792796	1,91 	1 655 560 	59,28 	1 148 013 	41,11 	66 160 	42,21 	СКФО
15	Новосибирская область 	2785836	1,91 	2 216 355 	79,56 	581 815 	20,88 	177 756 	15,67 	СФО
16	Кемеровская область 	2633446	1,8 	2 287 237 	86,85 	370 617 	14,07 	95 725 	27,51 	СФО
17	Пермский край 	2579261	1,76 	1 972 991 	76,49 	626 269 	24,28 	160 236 	16,10 	ПФО
18	Волгоградская область 	2474556	1,69 	1 925 215 	77,8 	565 821 	22,87 	112 877 	21,92 	ЮФО
19	Саратовская область 	2395111	1,64 	1 830 840 	76,44 	591 055 	24,68 	101 240 	23,66 	ПФО
20	Иркутская область 	2375021	1,62 	1 866 880 	78,6 	524 313 	22,08 	774 846 	3,07 	СФО
21	Воронежская область 	2305608	1,58 	1 579 415 	68,5 	744 790 	32,3 	52 216 	44,16 	ЦФО
22	Алтайский край 	2296353	1,57 	1 319 564 	57,46 	997 589 	43,44 	167 996 	13,67 	СФО
23	Оренбургская область 	1942915	1,33 	1 186 569 	61,07 	770 266 	39,64 	123 702 	15,71 	ПФО
24	Омская область 	1903675	1,3 	1 404 883 	73,8 	521 782 	27,41 	141 140 	13,49 	СФО
25	Республика Крым[a] 	1901578	1,3 	975 208 	51,28 	937 414 	49,3 	26 081 	72,91 	ЮФО
26	Ленинградская область 	1892711	1,29 	1 260 249 	66,58 	615 623 	32,53 	83 908 	22,56 	СЗФО
27	Приморский край 	1877844	1,28 	1 466 775 	78,11 	429 093 	22,85 	164 673 	11,40 	ДВФО
28	Ханты-Мансийский
автономный округ — Югра 	1687654	1,15 	1 549 313 	91,8 	125 363 	7,43 	534 801 	3,16 	УФО
29	Тюменская область
без ХМАО и ЯНАО 	543389	1,06 	1 037 432 	67,22 	499 984 	32,4 	160 122 	9,64 	УФО
30	Белгородская область 	1541259	1,05 	1 045 518 	67,84 	503 633 	32,68 	27 134 	56,80 	ЦФО
31	Чеченская Республика 	1497992	1,02 	545 408 	36,41 	933 318 	62,3 	16 171 	92,63 	СКФО
32	Удмуртская Республика 	1493356	1,02 	992 177 	66,44 	508 778 	34,07 	42 061 	35,50 	ПФО
33	Тульская область 	1449115	0,99 	1 096 983 	75,7 	369 144 	25,47 	25 679 	56,43 	ЦФО
34	Владимирская область 	1342099	0,92 	1 062 867 	79,19 	295 549 	22,02 	29 084 	46,15 	ЦФО
35	Хабаровский край 	1301127	0,89 	1 079 986 	83 	235 657 	18,11 	787 633 	1,65 	ДВФО
36	Пензенская область 	1290898	0,88 	899 910 	69,71 	405 653 	31,42 	43 352 	29,78 	ПФО
37	Кировская область 	1250173	0,86 	981 619 	78,52 	280 783 	22,46 	120 374 	10,39 	ПФО
38	Тверская область 	1245619	0,85 	959 646 	77,04 	300 733 	24,14 	84 201 	14,79 	ЦФО
39	Ярославская область 	1241424	0,85 	1 022 743 	82,38 	230 646 	18,58 	36 177 	34,32 	ЦФО
40	Ульяновская область 	1218319	0,83 	932 707 	76,56 	297 117 	24,39 	37 181 	32,77 	ПФО
41	Чувашская Республика 	1207875	0,83 	771 935 	63,91 	445 883 	36,91 	18 343 	65,85 	ПФО
42	Брянская область 	1182682	0,81 	839 822 	71,01 	352 669 	29,82 	34 857 	33,93 	ЦФО
43	Вологодская область 	1151042	0,79 	843 041 	73,24 	317 404 	27,58 	144 527 	7,96 	СЗФО
44	Липецкая область 	1128192	0,77 	736 408 	65,27 	402 963 	35,72 	24 047 	46,92 	ЦФО
	Архангельская область (с НАО) 	1127051	0,77 	893 306 	79,26 	243 229 	21,58 	589 913 	1,91 	СЗФО
45	Рязанская область 	1098257	0,75 	800 626 	72,9 	308 221 	28,06 	39 605 	27,73 	ЦФО
46	Курская область 	1096488	0,75 	756 464 	68,99 	347 544 	31,7 	29 997 	36,55 	ЦФО
